63,2,651.45,263.46,64.27,163.73,1,-1,-1,-1
64,2,651.67,262.23,68.02,173.73,1,-1,-1,-1
65,2,652.30,261.82,69.52,177.65,1,-1,-1,-1
66,2,655.29,263.10,67.13,171.08,1,-1,-1,-1
67,2,656.94,264.32,68.46,173.69,1,-1,-1,-1
68,2,659.42,264.76,69.09,174.49,1,-1,-1,-1
69,2,661.37,264.93,69.82,175.28,1,-1,-1,-1
70,2,662.43,264.99,70.60,175.44,1,-1,-1,-1
71,2,663.65,265.68,71.11,174.70,1,-1,-1,-1
72,2,663.93,266.60,71.49,173.64,1,-1,-1,-1
73,2,668.91,268.27,70.37,169.16,1,-1,-1,-1
74,2,671.21,268.89,70.31,167.38,1,-1,-1,-1
75,2,672.41,267.11,72.11,170.69,1,-1,-1,-1
76,2,674.79,265.11,73.39,173.22,1,-1,-1,-1
77,2,676.19,263.03,75.37,177.43,1,-1,-1,-1
78,2,677.56,261.59,75.62,176.37,1,-1,-1,-1
79,2,679.38,262.37,77.53,179.19,1,-1,-1,-1
80,2,681.34,264.64,78.20,181.52,1,-1,-1,-1
81,2,682.67,264.86,78.43,182.36,1,-1,-1,-1
82,2,682.69,263.64,79.34,184.59,1,-1,-1,-1
83,2,686.47,263.17,78.53,183.43,1,-1,-1,-1
84,2,688.79,263.00,76.98,180.28,1,-1,-1,-1
85,2,691.98,264.27,75.58,177.71,1,-1,-1,-1
86,2,694.30,263.42,75.95,179.37,1,-1,-1,-1
87,2,697.93,263.77,75.04,177.34,1,-1,-1,-1
88,2,700.85,263.90,74.76,176.54,1,-1,-1,-1
89,2,698.90,263.29,77.25,181.53,1,-1,-1,-1
90,2,697.72,262.41,79.62,186.00,1,-1,-1,-1
91,2,698.36,262.73,80.82,188.34,1,-1,-1,-1
92,2,698.26,262.21,81.85,190.51,1,-1,-1,-1
93,2,699.31,262.67,81.89,189.99,1,-1,-1,-1
94,2,698.83,262.19,82.90,192.36,1,-1,-1,-1
95,2,698.91,262.67,82.00,190.60,1,-1,-1,-1
96,2,698.72,262.20,81.99,190.53,1,-1,-1,-1
97,2,698.35,262.03,81.84,189.81,1,-1,-1,-1
98,2,697.93,260.65,82.92,192.15,1,-1,-1,-1
99,2,697.20,258.82,83.75,194.31,1,-1,-1,-1
